Jz, D, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
-4.0, -2.999999999999999, 0.4999999999999979, 0.49999999999999784, 0.9999999999999957, -2.8864191904369864e-17, 2.8864191904369254e-17, 0.9999999999999957, 2.2235137661930722e-17, -2.2235137661931015e-17, 0.9999999999999957, -2.1830012588348227e-18, 2.1830012588361004e-18, 0.9999999999999957, -3.003745925032816e-18, 3.0037459250308314e-18, 0.9999999999999957, 2.9901679883028243e-19, -2.9901679882874015e-19, 0.9999999999999957, -1.6605956966440406e-17, 1.660595696643925e-17, 0.9999999999999957, 1.8593745530160978e-19, 1.8593745530160973e-19, 0.9999999999999957
-4.0, -2.899999999999999, 0.4999999999999966, 0.4999999999999966, 0.9999999999999932, 1.0198739525067229e-17, -1.0198739525068346e-17, 0.9999999999999932, -1.3955324820709792e-17, 1.395532482071058e-17, 0.9999999999999932, 9.326293232698247e-18, -9.326293232698968e-18, 0.9999999999999932, -5.147517266485497e-18, 5.14751726648606e-18, 0.9999999999999932, 1.4115833432897442e-18, -1.4115833432899828e-18, 0.9999999999999932, 3.3977520320869675e-18, -3.397752032086688e-18, 0.9999999999999932, 1.539033477163459e-19, 1.5390334771634567e-19, 0.9999999999999932
-4.0, -2.799999999999999, 0.4999999999999992, 0.4999999999999991, 0.9999999999999983, -3.406899308911726e-17, 3.4068993089117374e-17, 0.9999999999999983, 4.829558667443186e-17, -4.8295586674431495e-17, 0.9999999999999983, -1.394884930685111e-17, 1.394884930685207e-17, 0.9999999999999983, 3.598951621128085e-17, -3.598951621128152e-17, 0.9999999999999983, -9.480890611232056e-18, 9.480890611230589e-18, 0.9999999999999983, -1.85030715046751e-17, 1.8503071504676123e-17, 0.9999999999999983, 6.388505917689259e-20, 6.388505917689273e-20, 0.9999999999999983
-4.0, -2.699999999999999, 0.499999999999993, 0.49999999999999306, 0.999999999999986, 6.16072085791836e-18, -6.160720857921438e-18, 0.999999999999986, -1.5070948676189458e-17, 1.5070948676191745e-17, 0.999999999999986, 1.3833451199348684e-17, -1.3833451199350595e-17, 0.999999999999986, -2.957361081090528e-17, 2.9573610810906464e-17, 0.999999999999986, 4.447415546838872e-18, -4.447415546838885e-18, 0.999999999999986, 3.78932594388068e-18, -3.789325943880591e-18, 0.999999999999986, 1.5198472575162693e-20, 1.519847257516262e-20, 0.999999999999986
-4.0, -2.5999999999999988, 0.5000000000000018, 0.5000000000000019, 1.0000000000000038, -3.897917051177138e-17, 3.8979170511771055e-17, 1.0000000000000038, 3.4571289446789395e-17, -3.4571289446789364e-17, 1.0000000000000038, 3.951770598040139e-17, -3.9517705980401195e-17, 1.0000000000000038, -4.9215705214006117e-17, 4.921570521400581e-17, 1.0000000000000038, 5.0821455340178195e-18, -5.0821455340174774e-18, 1.0000000000000038, -3.408138396358888e-17, 3.408138396358851e-17, 1.0000000000000038, 5.859537045128912e-20, 5.859537045128901e-20, 1.0000000000000038
-4.0, -2.4999999999999987, 0.49999999999999145, 0.49999999999999145, 0.9999999999999829, 2.786593062719047e-17, -2.7865930627191563e-17, 0.9999999999999829, -1.9253159001545932e-17, 1.9253159001546496e-17, 0.9999999999999829, -9.379901133535326e-18, 9.37990113353485e-18, 0.9999999999999829, 1.0363823913171756e-17, -1.0363823913171514e-17, 0.9999999999999829, -2.9549425074852646e-18, 2.954942507485404e-18, 0.9999999999999829, 1.3686540368947823e-17, -1.3686540368947787e-17, 0.9999999999999829, -1.9860431895009036e-20, -1.986043189500899e-20, 0.9999999999999829
-4.0, -2.3999999999999986, 0.4999999999999973, 0.4999999999999973, 0.9999999999999946, -4.823603933610752e-17, 4.8236039336106994e-17, 0.9999999999999946, 2.5594721295545874e-17, -2.5594721295545606e-17, 0.9999999999999946, 3.4259413161891686e-17, -3.425941316189178e-17, 0.9999999999999946, -5.249976653322493e-17, 5.249976653322506e-17, 0.9999999999999946, 4.225448659476267e-18, -4.225448659476686e-18, 0.9999999999999946, -2.2896596920919784e-17, 2.289659692092018e-17, 0.9999999999999946, 8.75916644487041e-20, 8.75916644487039e-20, 0.9999999999999946
-4.0, -2.2999999999999985, 0.49999999999999367, 0.4999999999999937, 0.9999999999999875, -3.9687813191054464e-17, 3.9687813191052904e-17, 0.9999999999999875, 1.6746182672506967e-17, -1.674618267250545e-17, 0.9999999999999875, 6.336856866179669e-17, -6.336856866179625e-17, 0.9999999999999875, -1.1279199598291146e-16, 1.127919959829101e-16, 0.9999999999999875, 1.4396765380178923e-17, -1.4396765380176196e-17, 0.9999999999999875, -3.8530111964641604e-17, 3.85301119646387e-17, 0.9999999999999875, -1.21055701204943e-20, -1.2105570120494304e-20, 0.9999999999999875
-4.0, -2.1999999999999984, 0.4999999999999971, 0.4999999999999971, 0.9999999999999942, 5.694364129965091e-17, -5.694364129965217e-17, 0.9999999999999942, -3.870351075187184e-17, 3.870351075187266e-17, 0.9999999999999942, -8.876917101494584e-18, 8.87691710149406e-18, 0.9999999999999942, 3.314586378528778e-17, -3.314586378528719e-17, 0.9999999999999942, -3.5366192151915476e-18, 3.53661921519172e-18, 0.9999999999999942, 3.4289671539088835e-17, -3.4289671539089267e-17, 0.9999999999999942, -8.826461200213745e-21, -8.82646120021384e-21, 0.9999999999999942
-4.0, -2.0999999999999983, 0.5000000000000024, 0.5000000000000023, 1.0000000000000047, 1.7933255804113872e-17, -1.7933255804113835e-17, 1.0000000000000047, 7.776671636130126e-18, -7.776671636130391e-18, 1.0000000000000047, -4.131313930621116e-17, 4.1313139306212526e-17, 1.0000000000000047, 6.387408659219433e-17, -6.387408659219586e-17, 1.0000000000000047, -1.804593246179864e-17, 1.8045932461798536e-17, 1.0000000000000047, 1.7303192575954813e-17, -1.730319257595467e-17, 1.0000000000000047, -2.8083899357683677e-20, -2.808389935768367e-20, 1.0000000000000047
-4.0, -1.9999999999999982, 0.5000000000000042, 0.5000000000000043, 1.0000000000000084, 5.245401443769179e-17, -5.245401443769204e-17, 1.0000000000000084, -2.0050188393956345e-17, 2.005018839395659e-17, 1.0000000000000084, 1.3947126459298258e-18, -1.3947126459298798e-18, 1.0000000000000084, 3.148455517891023e-18, -3.1484555178910595e-18, 1.0000000000000084, 7.639330953111307e-18, -7.639330953111121e-18, 1.0000000000000084, -4.420380582414764e-18, 4.4203805824146155e-18, 1.0000000000000084, 2.5873740838918855e-22, 2.587374083891974e-22, 1.0000000000000084
-4.0, -1.8999999999999981, 0.5000000000000049, 0.5000000000000049, 1.0000000000000098, -8.935154921861226e-18, 8.935154921861174e-18, 1.0000000000000098, 1.72824550057751e-17, -1.728245500577507e-17, 1.0000000000000098, -5.5934689472577375e-18, 5.593468947257743e-18, 1.0000000000000098, -4.6616936132497934e-18, 4.661693613249789e-18, 1.0000000000000098, -1.0336629322919736e-18, 1.033662932291996e-18, 1.0000000000000098, 9.848149316747743e-18, -9.84814931674775e-18, 1.0000000000000098, 8.047773033629072e-21, 8.047773033629105e-21, 1.0000000000000098
-4.0, -1.799999999999998, 0.5000000000000033, 0.5000000000000034, 1.0000000000000067, -3.745330522314717e-17, 3.7453305223145516e-17, 1.0000000000000067, 7.175588616304847e-18, -7.175588616303505e-18, 1.0000000000000067, 1.8936015826965896e-18, -1.893601582697713e-18, 1.0000000000000067, 2.047797711786641e-17, -2.0477977117865124e-17, 1.0000000000000067, 3.895118918307096e-18, -3.895118918308306e-18, 1.0000000000000067, 1.110723006339756e-17, -1.1107230063396301e-17, 1.0000000000000067, 6.39938660537511e-21, 6.3993866053751816e-21, 1.0000000000000067
-4.0, -1.699999999999998, 0.5000000000000038, 0.5000000000000037, 1.0000000000000073, 6.08144186245041e-17, -6.081441862450472e-17, 1.0000000000000073, 1.1035785008448669e-17, -1.103578500844822e-17, 1.0000000000000073, -1.5371620609922056e-17, 1.5371620609921896e-17, 1.0000000000000073, -2.5084762396509657e-17, 2.5084762396509666e-17, 1.0000000000000073, -1.2222677464455625e-17, 1.2222677464455715e-17, 1.0000000000000073, -1.456719354919268e-17, 1.4567193549192636e-17, 1.0000000000000073, 7.298906120476156e-21, 7.29890612047618e-21, 1.0000000000000073
-4.0, -1.5999999999999979, 0.4999999999999999, 0.4999999999999999, 0.9999999999999998, 1.4561781949793691e-18, -1.4561781949797123e-18, 0.9999999999999998, -3.7559768069884895e-17, 3.755976806988517e-17, 0.9999999999999998, 1.5601511149188454e-17, -1.5601511149188598e-17, 0.9999999999999998, 1.4027495569126647e-17, -1.402749556912667e-17, 0.9999999999999998, 1.7023095514544307e-17, -1.7023095514544307e-17, 0.9999999999999998, -2.089477762441247e-17, 2.0894777624412334e-17, 0.9999999999999998, -1.0565045778740328e-20, -1.0565045778740348e-20, 0.9999999999999998
-4.0, -1.4999999999999978, 0.5000000000000041, 0.500000000000004, 1.0000000000000082, 6.092126584918787e-17, -6.092126584918812e-17, 1.0000000000000082, -1.7903467993619496e-17, 1.7903467993619786e-17, 1.0000000000000082, 1.550823124255172e-18, -1.5508231242553014e-18, 1.0000000000000082, -8.658998100799563e-18, 8.658998100799446e-18, 1.0000000000000082, 1.535031043965904e-18, -1.535031043965978e-18, 1.0000000000000082, -2.4294100750573825e-17, 2.429410075057391e-17, 1.0000000000000082, 7.633623318432246e-22, 7.63362331843197e-22, 1.0000000000000082
