Jz, D, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, prodSix, prodSiy, prodSiz
-4.0, -2.999999999999999, 0.5000000000000001, 0.5000000000000001, 1.0000000000000004, -4.614525435869766e-17, 4.614525435869773e-17, 1.0000000000000004, 1.719378428678879e-17, -1.719378428678903e-17, 1.0000000000000004, -4.021579535163357e-18, -4.021579535163368e-18, 1.0000000000000004
-4.0, -2.899999999999999, 0.49999999999999983, 0.4999999999999998, 0.9999999999999997, 1.012012962235804e-17, -1.0120129622358133e-17, 0.9999999999999997, 2.9937226261337404e-17, -2.993722626133767e-17, 0.9999999999999997, 9.33026947571493e-19, 9.330269475714893e-19, 0.9999999999999997
-4.0, -2.799999999999999, 0.5000000000000001, 0.5000000000000001, 1.0000000000000002, 3.1954003644329605e-17, -3.1954003644329636e-17, 1.0000000000000002, -1.1943463999582288e-17, 1.1943463999582326e-17, 1.0000000000000002, -2.4612707129746368e-18, -2.4612707129746318e-18, 1.0000000000000002
-4.0, -2.699999999999999, 0.499999999999999, 0.499999999999999, 0.999999999999998, -3.2265333260109326e-18, 3.2265333260116355e-18, 0.999999999999998, -6.551935620702296e-18, 6.551935620701863e-18, 0.999999999999998, 1.4192268127230795e-18, 1.4192268127230678e-18, 0.999999999999998
-4.0, -2.5999999999999988, 0.4999999999999991, 0.4999999999999992, 0.9999999999999984, -2.574052079964184e-17, 2.5740520799641567e-17, 0.9999999999999984, 1.2885173259182528e-17, -1.2885173259182927e-17, 0.9999999999999984, -8.192496276223722e-18, -8.192496276223723e-18, 0.9999999999999984
-4.0, -2.4999999999999987, 0.49999999999999956, 0.49999999999999967, 0.9999999999999993, -7.566228686547346e-17, 7.566228686547373e-17, 0.9999999999999993, -1.3584743201302645e-18, 1.358474320130155e-18, 0.9999999999999993, 7.899839641887545e-19, 7.899839641887139e-19, 0.9999999999999993
-4.0, -2.3999999999999986, 0.5000000000000002, 0.5000000000000002, 1.0000000000000004, -2.1628816737309196e-18, 2.1628816737309104e-18, 1.0000000000000004, -1.887836147296036e-18, 1.8878361472959836e-18, 1.0000000000000004, -8.417197915723327e-18, -8.417197915723327e-18, 1.0000000000000004
-4.0, -2.2999999999999985, 0.4999999999999999, 0.4999999999999999, 0.9999999999999998, 6.683896388811436e-18, -6.683896388811568e-18, 0.9999999999999998, 4.7099897596996376e-18, -4.7099897597007885e-18, 0.9999999999999998, 7.21729229687805e-18, 7.217292296878044e-18, 0.9999999999999998
-4.0, -2.1999999999999984, 0.5000000000000002, 0.5000000000000001, 1.0000000000000002, 1.7247316101207382e-17, -1.7247316101207326e-17, 1.0000000000000002, -5.528463103201134e-17, 5.528463103201131e-17, 1.0000000000000002, 1.9732464579802958e-17, 1.973246457980295e-17, 1.0000000000000002
-4.0, -2.0999999999999983, 0.5000000000000002, 0.5000000000000002, 1.0000000000000004, -5.360356399742697e-17, 5.3603563997426966e-17, 1.0000000000000004, 1.4236325212076503e-17, -1.423632521207648e-17, 1.0000000000000004, -8.950085227215908e-19, -8.950085227215899e-19, 1.0000000000000004
-4.0, -1.9999999999999982, 0.5000000000000002, 0.5000000000000002, 1.0000000000000004, 3.855198231157596e-18, -3.855198231157596e-18, 1.0000000000000004, 1.1879488211950866e-18, -1.1879488211952099e-18, 1.0000000000000004, -4.2316977088063724e-19, -4.2316977088063757e-19, 1.0000000000000004
