Delta, delta, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, prodSix, prodSiy, prodSiz
-1.5, 0.5375, -2.2102024983305814e-17, 2.2102024983305753e-17, 1.0000000000000004, 1.6930157862732876e-17, -1.6930157862732824e-17, 1.0000000000000004, -3.009283773868655e-17, 3.00928377386865e-17, 1.0000000000000004, -1.743476259455574e-17, -1.7434762594555727e-17, 1.0000000000000004
-1.5, 0.55, 1.2542708923577804e-16, -1.254270892357787e-16, 1.0, -1.376299283150395e-16, 1.3762992831504009e-16, 1.0, 1.6710749207031868e-16, -1.6710749207031937e-16, 1.0, -3.731857101700225e-17, -3.7318571017002296e-17, 1.0
-1.5, 0.5625, 3.407082881236987e-17, -3.407082881237002e-17, 0.9999999999999993, -2.942254245789561e-17, 2.9422542457895724e-17, 0.9999999999999993, 5.764105755263187e-17, -5.764105755263195e-17, 0.9999999999999993, 1.5920808749544723e-17, 1.5920808749544733e-17, 0.9999999999999993
-1.5, 0.5750000000000001, -3.708563816005076e-17, 3.708563816004999e-17, 0.9999999999999988, 8.375060923351698e-17, -8.375060923351608e-17, 0.9999999999999988, -8.711183587886791e-17, 8.711183587886721e-17, 0.9999999999999988, 7.79647738108374e-17, 7.796477381083739e-17, 0.9999999999999988
-1.5, 0.5875, 1.0272480346919011e-16, -1.027248034691947e-16, 0.9999999999999992, -6.50582901153849e-17, 6.505829011538937e-17, 0.9999999999999992, 2.863350542540958e-16, -2.8633505425410055e-16, 0.9999999999999992, 6.3178990735036816e-18, 6.317899073504114e-18, 0.9999999999999992
-1.5, 0.6000000000000001, -1.1188066750831797e-17, 1.1188066750831731e-17, 1.0000000000000004, -1.3462485906697276e-17, 1.3462485906697342e-17, 1.0000000000000004, 4.920969023904801e-17, -4.920969023904809e-17, 1.0000000000000004, 1.608207583762822e-17, 1.6082075837628222e-17, 1.0000000000000004
-1.5, 0.6125, 7.401959165360668e-17, -7.401959165360699e-17, 1.0000000000000002, -4.3759513695062755e-17, 4.375951369506317e-17, 1.0000000000000002, -2.308820171514109e-16, 2.3088201715141025e-16, 1.0000000000000002, -8.638798970139987e-17, -8.638798970139977e-17, 1.0000000000000002
-1.5, 0.625, 2.215008686472244e-17, -2.2150086864722643e-17, 0.9999999999999982, 1.1301616241157657e-17, -1.1301616241157447e-17, 0.9999999999999982, 1.48147468566947e-17, -1.4814746856694874e-17, 0.9999999999999982, -3.1245308277390103e-18, -3.124530827739018e-18, 0.9999999999999982
-1.5, 0.6375000000000001, -6.939788539610374e-18, 6.939788539610818e-18, 0.9999999999999982, -9.013222453735474e-18, 9.013222453734993e-18, 0.9999999999999982, -2.602595279167432e-17, 2.6025952791672903e-17, 0.9999999999999982, 2.4907399788510157e-17, 2.490739978851012e-17, 0.9999999999999982
-1.5, 0.65, 1.6922048017243183e-16, -1.692204801724316e-16, 0.9999999999999987, -1.2869050496195628e-16, 1.2869050496195603e-16, 0.9999999999999987, -1.4303282982858285e-16, 1.4303282982858236e-16, 0.9999999999999987, 1.2664632777120846e-17, 1.2664632777120858e-17, 0.9999999999999987
-1.5, 0.6625000000000001, 1.6143088663027314e-16, -1.6143088663027423e-16, 0.9999999999999982, -1.4697277031331822e-16, 1.4697277031331937e-16, 0.9999999999999982, 1.3284489069962113e-16, -1.3284489069962288e-16, 0.9999999999999982, -4.607322567712098e-17, -4.6073225677120823e-17, 0.9999999999999982
-1.5, 0.675, -6.227761825617684e-17, 6.227761825617524e-17, 0.9999999999999962, 5.249029992069182e-17, -5.2490299920690204e-17, 0.9999999999999962, 1.5039553113029298e-16, -1.5039553113029418e-16, 0.9999999999999962, 1.461517088843801e-16, 1.4615170888438e-16, 0.9999999999999962
-1.5, 0.6875, -1.542160307025179e-16, 1.5421603070251874e-16, 0.9999999999999991, 7.71777493030357e-17, -7.717774930303636e-17, 0.9999999999999991, 1.3914964202651054e-16, -1.3914964202651293e-16, 0.9999999999999991, -1.0471427513951861e-17, -1.0471427513952014e-17, 0.9999999999999991
-1.5, 0.7000000000000001, -6.055207355528948e-18, 6.0552073555269416e-18, 0.9999999999999974, 6.8782529036038394e-18, -6.87825290360196e-18, 0.9999999999999974, -2.297460528325672e-18, 2.297460528323133e-18, 0.9999999999999974, -2.484878037905823e-17, -2.4848780379058102e-17, 0.9999999999999974
-1.5, 0.7125, 1.0231740217763127e-17, -1.0231740217757546e-17, 1.0, -2.6009411200707975e-17, 2.6009411200702348e-17, 1.0, -2.3683655956234435e-16, 2.3683655956233765e-16, 1.0, -1.1671953172835656e-17, -1.1671953172834898e-17, 1.0
-1.5, 0.7250000000000001, -8.5663626990012e-18, 8.566362699000784e-18, 0.9999999999999996, -2.425610241284939e-17, 2.425610241284979e-17, 0.9999999999999996, -1.589417767966485e-16, 1.5894177679664792e-16, 0.9999999999999996, 2.367205272755685e-18, 2.367205272755663e-18, 0.9999999999999996
-1.5, 0.7375, 2.4541264105641063e-17, -2.454126410564106e-17, 0.9999999999999977, 7.996208936860132e-17, -7.99620893686012e-17, 0.9999999999999977, -1.618970940365244e-17, 1.618970940365228e-17, 0.9999999999999977, -2.949270762508552e-17, -2.949270762508555e-17, 0.9999999999999977
-1.5, 0.75, -6.795275988692448e-17, 6.795275988692204e-17, 1.0000000000000009, 5.037115599048269e-17, -5.03711559904807e-17, 1.0000000000000009, -8.404815354843989e-17, 8.40481535484377e-17, 1.0000000000000009, 4.3171952030627133e-17, 4.3171952030626954e-17, 1.0000000000000009
-1.5, 0.7625000000000001, -6.7312429780809395e-18, 6.731242978079972e-18, 0.9999999999999983, 1.2367662295697814e-17, -1.2367662295697028e-17, 0.9999999999999983, -6.789260482977775e-17, 6.789260482977735e-17, 0.9999999999999983, -2.7609044170909043e-17, -2.7609044170909012e-17, 0.9999999999999983
-1.5, 0.775, 2.0674900853902232e-17, -2.0674900853902334e-17, 0.999999999999999, -5.0967444262605955e-17, 5.096744426260598e-17, 0.999999999999999, -1.4659202468208933e-17, 1.4659202468208846e-17, 0.999999999999999, 1.8309343625898257e-17, 1.830934362589826e-17, 0.999999999999999
-1.5, 0.7875000000000001, -5.57800283705038e-17, 5.57800283705038e-17, 0.9999999999999989, 8.523773750921507e-17, -8.523773750921513e-17, 0.9999999999999989, 1.0603292877083498e-16, -1.0603292877083561e-16, 0.9999999999999989, -7.203919906420099e-17, -7.203919906420099e-17, 0.9999999999999989
-1.5, 0.8, 1.2220835648203756e-16, -1.2220835648203778e-16, 1.0000000000000002, -1.497770784806033e-16, 1.4977707848060353e-16, 1.0000000000000002, -4.179531534872552e-17, 4.179531534872462e-17, 1.0000000000000002, 4.4133298213886683e-17, 4.413329821388659e-17, 1.0000000000000002
-1.5, 0.8125, 1.5335069287229536e-17, -1.533506928722969e-17, 1.0, 3.756801029788749e-18, -3.75680102978861e-18, 1.0, -1.1832169984470648e-17, 1.1832169984470521e-17, 1.0, 8.330850246315034e-18, 8.330850246315044e-18, 1.0
-1.5, 0.8250000000000001, 1.2965121569926033e-17, -1.2965121569926202e-17, 1.0000000000000004, 4.1619592816394e-17, -4.1619592816393914e-17, 1.0000000000000004, 1.1239287572722167e-16, -1.1239287572722201e-16, 1.0000000000000004, -9.76813524260222e-18, -9.768135242602242e-18, 1.0000000000000004
-1.5, 0.8375, -1.680810806698277e-16, 1.6808108066982728e-16, 0.9999999999999994, 1.714456448463593e-16, -1.7144564484635894e-16, 0.9999999999999994, -2.680027663447114e-16, 2.6800276634471065e-16, 0.9999999999999994, -7.099388416824099e-18, -7.099388416824059e-18, 0.9999999999999994
-1.5, 0.8500000000000001, 2.0062940185409847e-16, -2.006294018540988e-16, 1.0000000000000004, -1.481260865142577e-16, 1.4812608651425804e-16, 1.0000000000000004, 1.7890312583290576e-16, -1.7890312583290633e-16, 1.0000000000000004, 4.2538175230306936e-18, 4.253817523030672e-18, 1.0000000000000004
-1.5, 0.8625, 4.944750721263678e-17, -4.944750721263727e-17, 1.0, -4.6643888470121415e-17, 4.6643888470121797e-17, 1.0, 1.3021033522468572e-16, -1.3021033522468826e-16, 1.0, -1.8748175234778322e-17, -1.8748175234778495e-17, 1.0
-1.5, 0.875, -6.5009597432627014e-18, 6.500959743262715e-18, 0.9999999999999996, 6.970195615559525e-18, -6.970195615559507e-18, 0.9999999999999996, 1.3838716366964434e-17, -1.3838716366964622e-17, 0.9999999999999996, 2.2096602543334568e-18, 2.209660254333459e-18, 0.9999999999999996
-1.5, 0.8875000000000001, -1.4633906976288763e-17, 1.4633906976288682e-17, 0.9999999999999987, 2.9060495194879195e-17, -2.906049519487908e-17, 0.9999999999999987, 4.432123180128309e-17, -4.4321231801283264e-17, 0.9999999999999987, 2.3755362580509923e-17, 2.37553625805099e-17, 0.9999999999999987
-1.5, 0.9, -7.188108223311714e-18, 7.188108223311237e-18, 0.9999999999999996, 1.6234780839190807e-17, -1.6234780839190653e-17, 0.9999999999999996, -2.433916584773095e-16, 2.4339165847730833e-16, 0.9999999999999996, 4.15492487403992e-17, 4.154924874039926e-17, 0.9999999999999996
-1.5, 0.9125000000000001, 5.534404031416275e-17, -5.534404031416549e-17, 0.9999999999999987, -1.1369895286996787e-16, 1.1369895286997043e-16, 0.9999999999999987, 1.8784830511754905e-16, -1.8784830511755166e-16, 0.9999999999999987, 2.470478053585259e-17, 2.4704780535852772e-17, 0.9999999999999987
-1.5, 0.925, -1.992843565719614e-16, 1.9928435657195616e-16, 1.0000000000000007, 2.0977607212416753e-16, -2.0977607212416314e-16, 1.0000000000000007, 1.0421036579446054e-17, -1.0421036579448609e-17, 1.0000000000000007, -1.2349848252340658e-16, -1.2349848252340623e-16, 1.0000000000000007
-1.5, 0.9375, 5.061884907421615e-17, -5.061884907422465e-17, 0.9999999999999979, -4.792371394051119e-17, 4.79237139405183e-17, 0.9999999999999979, 5.509037521969344e-17, -5.509037521969882e-17, 0.9999999999999979, -2.952477836647421e-17, -2.9524778366475315e-17, 0.9999999999999979
-1.5, 0.9500000000000001, 5.315916917380466e-18, -5.315916917382823e-18, 0.9999999999999989, -3.77522767985244e-18, 3.775227679854401e-18, 0.9999999999999989, 8.7352595610293e-17, -8.735259561029528e-17, 0.9999999999999989, -3.985597807896832e-18, -3.9855978078969306e-18, 0.9999999999999989
-1.5, 0.9625, -6.173278341573498e-17, 6.173278341571507e-17, 0.9999999999999993, 4.169311729743275e-17, -4.169311729741736e-17, 0.9999999999999993, 1.9117336575190358e-16, -1.9117336575190533e-16, 0.9999999999999993, -3.3158647428788653e-17, -3.315864742878869e-17, 0.9999999999999993
-1.5, 0.9750000000000001, -4.5742749057519554e-17, 4.5742749057518574e-17, 0.9999999999999996, 1.1246231158538664e-16, -1.124623115853872e-16, 0.9999999999999996, 2.901502544282901e-16, -2.901502544282987e-16, 0.9999999999999996, -2.7387644648910063e-17, -2.73876446489101e-17, 0.9999999999999996
-1.5, 0.9875, -6.955500408126291e-17, 6.955500408126481e-17, 1.0000000000000007, 5.1386063431598225e-17, -5.138606343160008e-17, 1.0000000000000007, 3.076300452790389e-17, -3.076300452790473e-17, 1.0000000000000007, 1.014434137546147e-16, 1.0144341375461469e-16, 1.0000000000000007
-1.45, 0.0, -5.113870976121574e-19, 5.113870976111158e-19, 0.9999999999999991, -4.0994356105600996e-18, 4.099435610561184e-18, 0.9999999999999991, 2.6014157338742674e-18, -2.6014157338753244e-18, 0.9999999999999991, -1.5274185559036558e-17, -1.5274185559036497e-17, 0.9999999999999991
-1.45, 0.0125, 7.280566776815941e-17, -7.280566776815962e-17, 1.0, -2.1237374588206518e-17, 2.123737458820678e-17, 1.0, -1.5228236790601254e-17, 1.522823679060094e-17, 1.0, 4.17836085113313e-18, 4.1783608511331085e-18, 1.0
-1.45, 0.025, 7.329672365812465e-19, -7.3296723658544965e-19, 0.9999999999999998, -4.6868660892382856e-17, 4.6868660892387e-17, 0.9999999999999998, 4.121087676783613e-18, -4.121087676787736e-18, 0.9999999999999998, 1.6988953467794844e-17, 1.698895346779469e-17, 0.9999999999999998
-1.45, 0.037500000000000006, 1.5222175759985285e-16, -1.5222175759985324e-16, 0.9999999999999988, -1.2120270713389326e-16, 1.2120270713389373e-16, 0.9999999999999988, 1.8137177919241612e-16, -1.8137177919241652e-16, 0.9999999999999988, 6.213709222024712e-18, 6.213709222024721e-18, 0.9999999999999988
-1.45, 0.05, 5.61166400739124e-17, -5.611664007391362e-17, 1.0000000000000002, -1.0186544573331546e-17, 1.0186544573332717e-17, 1.0000000000000002, -5.247640055538218e-18, 5.2476400555369604e-18, 1.0000000000000002, 7.97855109196894e-18, 7.978551091968858e-18, 1.0000000000000002
