Delta, delta, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
-1.5,0.125,-2.64018925579524E-16,2.1770640657166E-16,8.17807663596067E-17,-1.414291573775E-16,3.36992322762919E-16,-3.14562969728964E-16,4.35494419473833E-16,2.64018925579524E-16,-2.1770640657166E-16,-8.17807663596067E-17,1.414291573775E-16,-3.36992322762919E-16,3.14562969728964E-16,-4.35494419473833E-16,1,1,1,1,1,1,1,4.94431339625569E-19,4.94431339625569E-19,1
-1.5,0.137500002980232,3.09126156408115E-16,-4.21216805645134E-16,-2.96065411287266E-17,4.6908695206855E-16,2.80635382664049E-16,2.5910941673812E-16,5.03905617793977E-16,3.26733589101367E-16,-1.12026764423951E-16,2.02379385095763E-16,-1.60638924944051E-16,1.91112298415174E-16,-2.02297143490541E-16,-2.62513129301155E-17,1,1,1,1,1,1,1,2.48574135446525E-21,2.17777946786202E-20,1
-1.5,0.150000005960464,3.73479908092234E-16,-1.15776738100123E-16,-1.25524049149991E-16,-2.96574789108476E-17,5.73166760737133E-16,3.71102789535103E-16,-1.32606978359601E-16,-2.177582608699E-16,1.9589741252734E-16,3.39500625547756E-16,-2.40776642600609E-17,-1.3416541310343E-16,-9.22894078278232E-17,-1.86111601183042E-16,1,1,1,1,1,1,1,-8.23094550353343E-21,-2.66632849350717E-20,1
-1.5,0.162499994039536,1.53318860919924E-15,1.10681318761687E-16,1.57785151830743E-16,2.79568121150508E-17,-1.01546032029602E-17,2.44024871678264E-16,-2.73662130986218E-16,3.17327976436378E-16,-2.22719531365315E-16,1.83620080238473E-16,2.59198937532733E-16,4.50103355533805E-16,-3.45474236899941E-18,1.35602298619329E-17,1,1,1,1,1,1,1,3.76910629911726E-20,2.31776621560469E-20,1
-1.5,0.174999997019768,-1.44364814754005E-16,-1.37899028455809E-16,4.28855666400829E-16,-1.47839079205846E-16,-2.09559286342944E-16,-2.13925582367362E-16,1.79865884632454E-16,5.13763334294564E-17,2.33769817316077E-16,5.79470459339938E-17,5.20133074997475E-16,2.00698289393259E-16,-3.2212265937387E-16,-5.46544899016734E-17,1,1,1,1,1,1,1,-1.42560054929539E-21,-2.21896466131406E-20,1
-1.5,0.1875,-7.42654453592692E-16,8.5210360411392E-16,-8.33815792205785E-16,8.26488216058207E-16,-6.33178780352304E-16,5.46656482372645E-16,-3.35398180286407E-16,7.42654453592692E-16,-8.5210360411392E-16,8.33815792205785E-16,-8.26488216058207E-16,6.33178780352304E-16,-5.46656482372645E-16,3.35398180286407E-16,1,1,1,1,1,1,1,3.94898195781923E-19,3.94898195781923E-19,1
-1.5,0.200000002980232,3.6748908228432E-16,1.44793188432189E-16,-2.48414530591903E-17,-1.02297241065976E-16,-2.20966676090311E-16,-9.69327828876672E-17,-7.77119559163257E-18,-4.39860636088912E-16,-8.84936480503848E-17,-3.57836930092121E-16,-1.93397778595323E-16,-4.38624470911733E-16,-8.13540007205334E-17,3.66959104357135E-16,1,1,1,1,1,1,1,3.31413305152352E-20,-4.99100203073379E-22,1
-1.5,0.212500005960464,4.39721907974019E-16,8.40778032455301E-16,-2.85211425222031E-16,-3.9168518722757E-16,7.98195740668027E-17,1.81910003436028E-17,-2.396562992528E-16,-4.08662718575642E-16,1.40985378287587E-16,8.93613803652876E-18,1.98408666692602E-17,5.91217773996951E-16,-2.06898888204516E-16,-1.47743443892146E-16,1,1,1,1,1,1,1,-1.14698980155748E-20,6.59076024773372E-21,1
-1.5,0.224999994039536,1.06255664256511E-16,1.00528537010435E-16,2.48966706738007E-17,-2.01407560372577E-16,4.04693449392914E-17,3.29647686842388E-17,1.13535859498603E-16,-2.69411957884913E-16,3.29841776501317E-16,-2.67362932245945E-16,3.52622661443272E-17,-5.0882556234599E-17,-6.66795056339324E-17,-3.87950652050351E-17,1,1,1,1,1,1,1,1.95106525627386E-20,-1.91929005008317E-20,1
-1.5,0.237499997019768,-6.55925175171438E-17,-1.21525299250232E-16,-8.25359068199957E-16,9.0437886449354E-17,-4.42837559851817E-17,2.37954484330313E-17,2.09918732715045E-16,-7.2879514169104E-16,1.94931397920776E-17,5.8950454398201E-16,4.99430908169755E-17,-1.07982380624159E-16,-3.06536141413648E-16,-6.09959013229662E-16,1,1,1,1,1,1,1,-1.18685578733535E-20,-4.39534115330901E-20,1
-1.5,0.25,-5.38252711160911E-17,2.01765418557902E-16,-7.64063158394985E-17,-2.94159777407484E-18,5.57099392760666E-17,-1.39441184285183E-16,2.50491624123416E-16,5.38252711160911E-17,-2.01765418557902E-16,7.64063158394985E-17,2.94159777407484E-18,-5.57099392760666E-17,1.39441184285183E-16,-2.50491624123416E-16,1,1,1,1,1,1,1,-6.20113989077489E-19,-6.20113989077489E-19,1
-1.5,0.262499988079071,-2.77836229940949E-16,-2.16293873252995E-16,-3.94559037668706E-16,1.74104048887875E-16,1.57883632645751E-16,5.63557754285684E-17,1.780824699969E-16,-2.76867912463559E-16,7.12172808315444E-16,-3.1300217917475E-16,1.34007454693657E-16,1.01174664330513E-16,-2.29461146001851E-16,-1.38103083986759E-16,1,1,1,1,1,1,1,4.49042168731286E-20,1.17205725152696E-20,1
-1.5,0.275000005960464,5.5092330496532E-16,-1.21043840429057E-16,-3.91535090342339E-17,-1.20773200167519E-16,6.74646894596055E-18,-1.08918391735544E-16,1.75650598700664E-16,2.93282511008841E-16,-6.15464197991223E-16,-4.64852872593242E-17,-4.39507105712552E-16,3.38270071963853E-16,2.967702485785E-16,2.37600020894222E-16,1,1,1,1,1,1,1,-2.25072258072242E-20,-3.56865232547954E-20,1
-1.5,0.287499994039536,2.81751586800073E-16,4.68756503340002E-16,2.76071000043981E-17,1.14419799590428E-17,1.35359054579679E-16,3.70138839571348E-16,-3.23235978303918E-16,4.14294799460613E-16,-1.67957686655022E-16,-7.06573973473652E-17,-5.1731033770075E-16,2.94882053320392E-16,4.42370268980173E-17,-3.95355639068374E-17,1,1,1,1,1,1,1,4.41172288372925E-20,1.93419161996102E-21,1
-1.5,0.300000011920929,4.06132048827042E-16,-2.58667080251196E-16,-1.96245728357119E-16,4.0205572923816E-16,-6.2580369095034E-17,-5.99327690950437E-17,-7.75093247903911E-17,-5.90093920094622E-16,4.90087916385859E-16,-3.48112753629625E-16,-6.72167826028427E-17,9.99494311723093E-17,8.56529377733103E-17,3.27602194918997E-16,1,1,1,1,1,1,1,1.79262559540529E-20,1.72537629628087E-20,1
-1.5,0.3125,-2.41645476720088E-16,-2.86376247725738E-17,2.27734257580636E-16,-2.00045028467579E-16,-1.04958982545718E-16,1.28547758248342E-16,-5.5033715816582E-17,2.41645476720088E-16,2.86376247725738E-17,-2.27734257580636E-16,2.00045028467579E-16,1.04958982545718E-16,-1.28547758248342E-16,5.5033715816582E-17,1,1,1,1,1,1,1,1.45027498507633E-18,1.45027498507633E-18,1
-1.5,0.324999988079071,1.49109549217389E-16,-1.00384190684822E-16,7.25081775720056E-17,4.91567312367797E-16,5.17270034152584E-18,1.34265085058521E-16,-9.28734436624E-17,-2.90450641638154E-16,-7.95833379013024E-17,6.16560642436775E-17,6.01598136295772E-17,1.23703418004317E-16,1.49788499064173E-16,-4.74750981977501E-17,1,1,1,1,1,1,1,1.78389189291818E-20,8.98899514262719E-21,1
-1.5,0.337500005960464,1.6767739815882E-16,-6.87824303616137E-17,-7.99534383596933E-17,1.1711608247819E-16,6.52055640809527E-18,-3.93473961993494E-16,9.91658396693154E-17,2.72412598570341E-16,-2.62176231872552E-16,3.25982284112043E-17,2.43241577960291E-16,7.64276107771881E-17,-3.09533102799711E-16,1.9894711494926E-16,1,1,1,1,1,1,1,4.17486650079065E-20,-5.34512035317941E-21,1
-1.5,0.349999994039536,2.42192368836438E-16,-2.47602934062091E-17,-5.35866447294928E-16,-4.30593592720138E-16,-9.97848487001909E-17,1.76956802914668E-16,3.78677434605484E-16,4.61387903997125E-18,-4.04833113152477E-20,-2.72433959682479E-16,2.32284995029319E-16,1.2417976981239E-17,2.43825554237863E-16,1.56785361785408E-16,1,1,1,1,1,1,1,2.97379217342799E-20,-2.47622978716284E-20,1
-1.5,0.362500011920929,7.68324845850418E-16,5.96378758979461E-17,1.11357198114036E-16,-1.23182241278849E-16,-1.04980323805522E-16,1.17204173904704E-16,-1.9998780080408E-16,3.07831360669118E-16,2.88408233444087E-17,2.77183309813681E-17,-3.76398439521337E-16,-3.82441960042993E-17,-6.70135211652813E-17,2.16764651518101E-16,1,1,1,1,1,1,1,9.64784288493855E-21,-9.10129218092337E-21,1
-1.5,0.375,6.98171009590195E-17,-4.15766155246998E-17,-1.39443262162882E-17,3.66212544075804E-17,-1.96114646699809E-17,-6.30726912791939E-18,1.30317713000969E-16,-6.98171009590195E-17,4.15766155246998E-17,1.39443262162882E-17,-3.66212544075804E-17,1.96114646699809E-17,6.30726912791939E-18,-1.30317713000969E-16,1,1,1,1,1,1,1,1.49374317116963E-19,1.49374317116963E-19,1
-1.5,0.387499988079071,2.46109525640575E-16,7.33743415524671E-17,-1.27925744897482E-16,7.02608403442624E-17,-4.2283532678866E-16,-5.7517454645948E-17,1.12296544417652E-16,3.28573477011702E-16,-2.8955774979774E-17,-2.52945399162273E-16,-1.20602840666003E-16,4.59247168843644E-17,2.49802324592808E-17,3.1565511283533E-16,1,1,1,1,1,1,1,-4.61343475350943E-20,4.51782010639911E-20,1
-1.5,0.400000005960465,-4.69903862406618E-16,-2.59551303238791E-16,6.10732791061869E-17,-1.47296422254232E-16,-2.08451089315249E-16,4.67422267629399E-16,1.30033573151834E-16,-3.48903088308973E-16,6.74570554097322E-17,3.60534968257142E-16,-1.08000035967153E-16,-3.95908917019054E-16,-2.76441616663074E-16,-4.97231474625646E-16,1,1,1,1,1,1,1,1.22321053681577E-20,-2.04550799686692E-21,1
-1.5,0.412499994039536,5.21796435947646E-16,3.86373443615339E-16,-5.16116067567236E-17,-2.78557134388401E-16,1.07895116378257E-16,1.71153383146335E-16,3.22293098284725E-16,2.72805118932054E-16,-2.84470033165167E-16,-5.69206868473829E-17,-1.21877214970037E-16,4.17648553623372E-17,2.2463583752936E-16,-3.61420938250191E-16,1,1,1,1,1,1,1,7.7198569371072E-20,-5.86177599053096E-20,1
-1.5,0.425000011920929,7.75530661011829E-17,1.28885228085929E-17,1.55477860552202E-16,3.35276895756272E-16,-1.40972901095228E-17,1.98137722028599E-16,-2.53362562888795E-16,3.09619394281213E-16,-9.87163113432736E-16,2.80437388712628E-18,-4.47684011060765E-17,-6.43412116260328E-17,3.22327932514681E-17,2.68721219060039E-17,1,1,1,1,1,1,1,6.13400953117526E-20,-1.30060620781717E-20,1
-1.5,0.4375,-1.42649115108628E-15,1.22278269188694E-15,-5.91703441513083E-16,3.20543551732172E-16,1.32527727839473E-16,-1.90076112422886E-16,2.61253177718282E-16,1.42649115108628E-15,-1.22278269188694E-15,5.91703441513083E-16,-3.20543551732172E-16,-1.32527727839473E-16,1.90076112422886E-16,-2.61253177718282E-16,1,1,1,1,1,1,1,4.25040036917896E-20,4.25040036917896E-20,1
-1.5,0.449999988079071,-8.94720796305599E-16,6.19155514635798E-16,-1.52203853217938E-16,-6.52015059328675E-17,9.23490310063761E-17,-1.37824476321561E-16,-6.69180009951216E-16,-1.37917477892191E-16,-1.17362502891392E-16,-1.69150878145018E-16,4.10067443309324E-17,-2.66454939396268E-16,-2.33324542683617E-16,-4.98049814331812E-17,1,1,1,1,1,1,1,-1.49422008845259E-21,-3.88813177314996E-20,1
-1.5,0.462500005960465,3.36534819092284E-16,1.85630049717638E-16,1.16742919797171E-17,5.47121642427031E-17,-1.91373436025835E-16,-2.17247155895571E-16,2.63967230099962E-16,2.13982412984167E-16,-2.52337944190193E-16,-1.14837987366549E-16,1.68904722429612E-16,-2.59306193079679E-16,1.03344160553892E-16,-1.50389095054613E-17,1,1,1,1,1,1,1,4.79033378985243E-20,2.33888080853368E-20,1
-1.5,0.474999994039536,-3.66946240044249E-16,1.5987611883549E-16,2.56748550625665E-16,1.66060703430087E-16,-1.69679797281019E-16,2.98633108121625E-18,-9.60965330668782E-18,1.7361928134425E-16,1.16529631276224E-16,1.02754096227011E-16,-3.48494500791041E-16,1.10948736327558E-16,9.28363661186229E-17,-1.71921681734164E-17,1,1,1,1,1,1,1,-8.353855979947E-20,-5.90085251965585E-20,1
-1.5,0.487500011920929,-3.20470283382234E-16,1.59328631149098E-16,-1.13578992004464E-16,1.29614583010519E-16,2.78401597963461E-16,-2.24306447591996E-16,1.69903347804645E-16,-1.08411124879257E-16,-2.01089631849781E-16,1.23122829858533E-16,7.47197872147315E-17,-1.3525299679026E-17,4.77584227776728E-16,7.68479823101263E-18,1,1,1,1,1,1,1,-1.92502376882136E-20,8.57738990826209E-20,1
