Delta, delta, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
-1.5, 0.125, 0.49999999999999345, 0.4999999999999931, 0.9999999999999866, -2.906179232891318e-16, 2.906179232891272e-16, 0.9999999999999866, 2.83324560528989e-16, -2.8332456052898533e-16, 0.9999999999999866, -2.7326187223990826e-16, 2.7326187223990574e-16, 0.9999999999999866, 2.02131386244397e-16, -2.0213138624439518e-16, 0.9999999999999866, -1.1168644096278723e-16, 1.116864409627861e-16, 0.9999999999999866, 4.930940524057856e-17, -4.930940524057712e-17, 0.9999999999999866, -1.744932464254664e-20, -1.744932464255091e-20, 0.9999999999999866
-1.5, 0.1375, 0.4999999999999946, 0.49999999999999495, 0.9999999999999897, 3.442358021087473e-16, -3.4423580210875045e-16, 0.9999999999999897, -2.941301673522467e-16, 2.941301673522493e-16, 0.9999999999999897, 2.4952187398644106e-16, -2.4952187398644273e-16, 0.9999999999999897, -1.9426400925503575e-16, 1.9426400925503683e-16, 0.9999999999999897, 1.206924194282985e-16, -1.2069241942829904e-16, 0.9999999999999897, -7.735266582429785e-17, 7.735266582429843e-17, 0.9999999999999897, -2.0374224411316185e-20, -2.03742244113166e-20, 0.9999999999999897
-1.5, 0.15000000000000002, 0.5000000000000031, 0.5000000000000027, 1.0000000000000058, -3.6754602435909667e-16, 3.6754602435907975e-16, 1.0000000000000058, 3.2515130932061113e-16, -3.251513093205976e-16, 1.0000000000000058, -2.345513087083701e-16, 2.34551308708363e-16, 1.0000000000000058, 1.5745292753270343e-16, -1.5745292753270178e-16, 1.0000000000000058, -1.4248908185436162e-16, 1.4248908185436324e-16, 1.0000000000000058, 1.1449244342253345e-16, -1.1449244342253293e-16, 1.0000000000000058, 3.1058097309153076e-20, 3.1058097309152005e-20, 1.0000000000000058
-1.5, 0.1625, 0.5000000000000002, 0.5000000000000002, 1.0000000000000004, 1.3894185563765617e-16, -1.3894185563766778e-16, 1.0000000000000004, -1.0611467287319779e-16, 1.0611467287320308e-16, 1.0000000000000004, 4.571669773580997e-17, -4.571669773580554e-17, 1.0000000000000004, -3.2497390061303625e-17, 3.249739006129391e-17, 1.0000000000000004, 4.7714331323803434e-17, -4.771433132379217e-17, 1.0000000000000004, -5.355249802208712e-17, 5.355249802207817e-17, 1.0000000000000004, 8.4974401989798e-21, 8.497440198979571e-21, 1.0000000000000004
-1.5, 0.17500000000000002, 0.500000000000004, 0.5000000000000039, 1.000000000000008, -8.851667958473964e-17, 8.851667958473367e-17, 1.000000000000008, 6.727330958626967e-17, -6.727330958626484e-17, 1.000000000000008, -7.944034881673487e-17, 7.944034881673095e-17, 1.000000000000008, 9.542594667116031e-17, -9.542594667115707e-17, 1.000000000000008, -5.489898729622209e-17, 5.4898987296219583e-17, 1.000000000000008, 5.166358483025537e-17, -5.166358483025262e-17, 1.000000000000008, 4.141745080509211e-21, 4.141745080505147e-21, 1.000000000000008
-1.5, 0.1875, 0.5000000000000042, 0.500000000000004, 1.0000000000000082, -2.0195041606081164e-16, 2.0195041606080883e-16, 1.0000000000000082, 1.86376628040787e-16, -1.863766280407845e-16, 1.0000000000000082, -1.7019520953978216e-16, 1.701952095397802e-16, 1.0000000000000082, 1.2411562281084407e-16, -1.241156228108427e-16, 1.0000000000000082, -5.4506253836594414e-17, 5.450625383659376e-17, 1.0000000000000082, 2.4534495426117383e-17, -2.453449542611656e-17, 1.0000000000000082, 5.523219467253137e-20, 5.523219467252978e-20, 1.0000000000000082
-1.5, 0.2, 0.5000000000000004, 0.5000000000000006, 1.000000000000001, 1.8352795924511094e-16, -1.835279592451159e-16, 1.000000000000001, -1.8043999309783193e-16, 1.8043999309783625e-16, 1.000000000000001, 1.8997893086419754e-16, -1.8997893086420065e-16, 1.000000000000001, -1.8179404003053893e-16, 1.8179404003054112e-16, 1.000000000000001, 1.065278213030883e-16, -1.0652782130308938e-16, 1.000000000000001, -6.757224318287215e-17, 6.757224318287346e-17, 1.000000000000001, 1.2950819553858742e-20, 1.2950819553857735e-20, 1.000000000000001
-1.5, 0.21250000000000002, 0.4999999999999978, 0.4999999999999978, 0.9999999999999956, -1.9440149261450273e-17, 1.9440149261448886e-17, 0.9999999999999956, 1.601146905763982e-17, -1.601146905763851e-17, 0.9999999999999956, 3.508230450403675e-17, -3.5082304504037614e-17, 0.9999999999999956, -7.726172655528528e-17, 7.726172655528601e-17, 0.9999999999999956, 4.14338743341155e-18, -4.143387433412134e-18, 0.9999999999999956, 1.4448275295238e-17, -1.4448275295237457e-17, 0.9999999999999956, 3.8539319374636784e-21, 3.853931937460659e-21, 0.9999999999999956
-1.5, 0.225, 0.4999999999999899, 0.49999999999999023, 0.9999999999999802, 2.3108210168660347e-16, -2.310821016866064e-16, 0.9999999999999802, -2.369773998493188e-16, 2.369773998493209e-16, 0.9999999999999802, 2.2607128325699557e-16, -2.2607128325699685e-16, 0.9999999999999802, -1.98632202526573e-16, 1.9863220252657441e-16, 0.9999999999999802, 9.407123909945778e-17, -9.407123909945947e-17, 0.9999999999999802, -2.5355830757369793e-17, 2.5355830757371445e-17, 0.9999999999999802, -8.347015839423723e-20, -8.347015839423748e-20, 0.9999999999999802
-1.5, 0.23750000000000002, 0.5000000000000056, 0.5000000000000062, 1.0000000000000115, 6.221850740768686e-16, -6.221850740769063e-16, 1.0000000000000115, -5.698375021001452e-16, 5.698375021001807e-16, 1.0000000000000115, 4.179807135708196e-16, -4.179807135708461e-16, 1.0000000000000115, -3.3002138531264494e-16, 3.300213853126641e-16, 1.0000000000000115, 2.135381260020894e-16, -2.135381260021008e-16, 1.0000000000000115, -1.5049406195363456e-16, 1.5049406195364836e-16, 1.0000000000000115, -2.351074261631935e-21, -2.351074261632716e-21, 1.0000000000000115
