theta, -1, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
0.006,-1,0.666666666666669,0.666666666666669,0.666666666666663,-0.46859351673167,-0.46859351673167,-0.468593516731678,0.258305873608242,0.258305873608242,0.258305873608239,-0.209182928992901,-0.209182928992901,-0.209182928992904,0.166441210051746,0.166441210051747,0.166441210051746,-0.152069604286733,-0.152069604286733,-0.152069604286734,0.143531266035988,0.143531266035988,0.143531266035987,0.0624590541350284,0.0624590541350284,0.0624590541350301
0.0065,-1,0.666666666666647,0.666666666666647,0.666666666666683,-0.468592597971192,-0.468592597971192,-0.46859259797119,0.25823083052365,0.25823083052365,0.258230830523645,-0.209049302731542,-0.209049302731542,-0.209049302731542,0.166296579636362,0.166296579636362,0.166296579636365,-0.151903949003028,-0.151903949003028,-0.151903949003028,0.143370212424845,0.143370212424845,0.143370212424843,0.062392938141032,0.0623929381410319,0.0623929381410319
0.007,-1,0.66666666666667,0.66666666666667,0.66666666666668,-0.468591604575859,-0.468591604575859,-0.46859160457585,0.258155516885315,0.258155516885315,0.25815551688531,-0.208915297729689,-0.208915297729689,-0.208915297729688,0.166151576824502,0.166151576824502,0.166151576824502,-0.151737916965637,-0.151737916965637,-0.151737916965637,0.14320878445606,0.14320878445606,0.143208784456061,0.0623267559717936,0.0623267559717936,0.0623267559717932
0.0075,-1,0.666666666666657,0.666666666666657,0.666666666666667,-0.468590536375961,-0.468590536375961,-0.468590536375964,0.25807993230691,0.25807993230691,0.258079932306912,-0.208780913543645,-0.208780913543644,-0.208780913543643,0.166006201347879,0.166006201347878,0.166006201347879,-0.151571508086604,-0.151571508086604,-0.151571508086606,0.14304698203618,0.14304698203618,0.143046982036177,0.0622605076388935,0.0622605076388934,0.0622605076388911
0.008,-1,0.666666666666647,0.666666666666647,0.666666666666652,-0.468589393201514,-0.468589393201514,-0.468589393201509,0.258004076402471,0.258004076402471,0.258004076402473,-0.208646149730943,-0.208646149730943,-0.208646149730942,0.165860452940426,0.165860452940426,0.165860452940427,-0.151404722281329,-0.15140472228133,-0.15140472228133,0.142884805075123,0.142884805075123,0.142884805075124,0.0621941931546887,0.0621941931546887,0.0621941931546859
0.0085,-1,0.666666666666663,0.666666666666663,0.666666666666656,-0.468588174882173,-0.468588174882173,-0.468588174882182,0.257927948786343,0.257927948786343,0.257927948786344,-0.208511005850369,-0.208511005850369,-0.208511005850367,0.165714331338295,0.165714331338295,0.165714331338299,-0.151237559468552,-0.151237559468552,-0.151237559468555,0.142722253486252,0.142722253486252,0.142722253486251,0.062127812532322,0.0621278125323221,0.0621278125323218
0.009,-1,0.666666666666659,0.666666666666659,0.666666666666657,-0.468586881247244,-0.468586881247244,-0.468586881247251,0.2578515490732,0.257851549073201,0.257851549073199,-0.208375481461938,-0.208375481461938,-0.208375481461939,0.165567836279875,0.165567836279875,0.165567836279875,-0.15107001957039,-0.15107001957039,-0.151070019570391,0.142559327186339,0.142559327186339,0.142559327186339,0.0620613657857279,0.0620613657857278,0.0620613657857284
0.0095,-1,0.666666666666661,0.666666666666661,0.66666666666666,-0.468585512125734,-0.468585512125734,-0.46858551212573,0.257774876878091,0.257774876878091,0.257774876878092,-0.208239576126955,-0.208239576126955,-0.208239576126954,0.165420967505803,0.165420967505803,0.165420967505804,-0.150902102512357,-0.150902102512357,-0.150902102512358,0.142396026095644,0.142396026095644,0.142396026095641,0.0619948529296318,0.0619948529296318,0.0619948529296326
0.01,-1,0.66666666666666,0.66666666666666,0.66666666666666,-0.468584067346289,-0.468584067346289,-0.46858406734629,0.257697931816409,0.257697931816409,0.257697931816405,-0.208103289407996,-0.208103289407997,-0.208103289408,0.165273724758993,0.165273724758993,0.165273724758995,-0.150733808223391,-0.150733808223391,-0.150733808223391,0.14223235013789,0.142232350137891,0.142232350137892,0.0619282739795564,0.0619282739795565,0.0619282739795571
0.0105,-1,0.66666666666666,0.666666666666661,0.666666666666682,-0.468582546737269,-0.46858254673727,-0.468582546737266,0.257620713503915,0.257620713503915,0.257620713503915,-0.207966620868943,-0.207966620868944,-0.207966620868944,0.16512610778466,0.165126107784661,0.165126107784657,-0.150565136635868,-0.150565136635869,-0.15056513663587,0.142068299240337,0.142068299240338,0.142068299240338,0.0618616289518256,0.0618616289518261,0.0618616289518286
0.011,-1,0.666666666666665,0.666666666666666,0.66666666666664,-0.46858095012664,-0.468580950126641,-0.468580950126635,0.257543221556728,0.257543221556729,0.257543221556729,-0.207829570074974,-0.207829570074974,-0.207829570074971,0.164978116330304,0.164978116330305,0.164978116330306,-0.150396087685626,-0.150396087685627,-0.150396087685631,0.141903873333755,0.141903873333756,0.141903873333754,0.0617949178635805,0.0617949178635807,0.0617949178635785
