Jz, D, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
-4,-0.800000011920929,2.29447196428001E-016,-4.61424878970506E-018,-3.35721078510323E-017,4.12336962212374E-017,-1.46203743134829E-017,4.83404316888765E-017,2.05625437034046E-017,-2.29447196428001E-016,4.61424878970506E-018,3.35721078510323E-017,-4.12336962212374E-017,1.46203743134829E-017,-4.83404316888765E-017,-2.05625437034046E-017,1,1,1,1,1,1,1,3.10901386808828E-021,3.10901386808828E-021,1
-4,-0.699999988079071,1.17721327223672E-016,-4.35923322547608E-017,7.54083323566207E-017,1.33397167455161E-017,1.03877986525287E-017,-3.45440922200771E-018,3.83735626060068E-019,-1.17721327223672E-016,4.35923322547608E-017,-7.54083323566207E-017,-1.33397167455161E-017,-1.03877986525287E-017,3.45440922200771E-018,-3.83735626060068E-019,1,1,1,1,1,1,1,-3.78806634504449E-021,-3.78806634504449E-021,1
-4,-0.600000023841858,-1.40634164016942E-016,3.45816652450411E-017,-1.03321320856409E-018,3.7726417336788E-017,-4.76845006241791E-017,9.14615853231149E-017,-5.77096914203054E-017,1.40634164016942E-016,-3.45816652450411E-017,1.03321320856409E-018,-3.7726417336788E-017,4.76845006241791E-017,-9.14615853231149E-017,5.77096914203054E-017,1,1,1,1,1,1,1,1.48336728090647E-021,1.48336728090647E-021,1
-4,-0.5,-4.60853288895426E-017,7.60348654223479E-017,3.9403641834025E-017,1.68538070487195E-018,-1.99804335452939E-017,-2.78799695176865E-018,4.59348084878375E-017,4.60853288895426E-017,-7.60348654223479E-017,-3.9403641834025E-017,-1.68538070487195E-018,1.99804335452939E-017,2.78799695176865E-018,-4.59348084878375E-017,1,1,1,1,1,1,1,3.71572358436304E-021,3.71572358436304E-021,1
-4,-0.400000005960465,-6.83947076474529E-017,7.71742554309418E-019,4.70413685250997E-018,-3.90747614399188E-017,1.23309840505781E-018,2.4462787972737E-017,-3.81361074864763E-018,6.83947076474529E-017,-7.71742554309418E-019,-4.70413685250997E-018,3.90747614399188E-017,-1.23309840505781E-018,-2.4462787972737E-017,3.81361074864763E-018,1,1,1,1,1,1,1,-1.70332381463098E-021,-1.70332381463098E-021,1
-4,-0.300000011920929,2.29022859391206E-016,-9.15489620655801E-017,3.97552597688091E-017,-7.06591327722903E-018,-7.11472073840048E-017,9.61938525203063E-017,-1.05750111318454E-017,-2.29022859391206E-016,9.15489620655801E-017,-3.97552597688091E-017,7.06591327722903E-018,7.11472073840048E-017,-9.61938525203063E-017,1.05750111318454E-017,1,1,1,1,1,1,1,6.22673413524111E-021,6.22673413524111E-021,1
-4,-0.200000002980232,1.36085793959172E-017,-7.82574137014942E-017,3.53363914533793E-017,-1.80460551392263E-017,5.52847527247827E-018,1.52042265139637E-017,-2.3963898801694E-017,-1.36085793959172E-017,7.82574137014942E-017,-3.53363914533793E-017,1.80460551392263E-017,-5.52847527247827E-018,-1.52042265139637E-017,2.3963898801694E-017,1,1,1,1,1,1,1,7.12364066121546E-021,7.12364066121546E-021,1
-4,-0.100000001490116,-1.4978864464796E-017,3.12278978473918E-017,-4.70599792617016E-017,6.68650703694689E-018,-6.00575344011963E-017,4.60894449402706E-017,-2.85727208729904E-017,1.4978864464796E-017,-3.12278978473918E-017,4.70599792617016E-017,-6.68650703694689E-018,6.00575344011963E-017,-4.60894449402706E-017,2.85727208729904E-017,1,1,1,1,1,1,1,2.65301621708261E-021,2.65301621708261E-021,1
-4,3.5527136788005E-015,1.36340501067751E-016,-7.37730029030482E-017,1.29297238477235E-017,1.08661952510763E-017,1.00150412900103E-017,2.25060252321132E-018,-1.46011225119064E-017,-1.36340501067751E-016,7.37730029030482E-017,-1.29297238477235E-017,-1.08661952510763E-017,-1.00150412900103E-017,-2.25060252321132E-018,1.46011225119064E-017,1,1,1,1,1,1,1,-1.45814445184439E-020,-1.45814445184439E-020,1
-4,0.100000001490116,5.76282968480301E-017,1.16881083774886E-017,-2.02542286736877E-017,6.14215883185207E-017,-1.15194442653556E-016,9.64911478499027E-017,-2.71466002855837E-017,-5.76282968480301E-017,-1.16881083774886E-017,2.02542286736877E-017,-6.14215883185207E-017,1.15194442653556E-016,-9.64911478499027E-017,2.71466002855837E-017,1,1,1,1,1,1,1,-6.20406032907179E-023,-6.20406032907179E-023,1
